2021-11-08 20:28:54.283710, rainbow6, s1ayyr6, are people gonna be able to go to SI?, PRIVMSG
2021-11-08 20:28:56.385717, rainbow6, saifulraijin, kixMid kixRight kixMid kixRight, PRIVMSG
2021-11-08 20:28:56.586212, rainbow6, san_meglight, !drops, PRIVMSG
2021-11-08 20:28:56.782950, rainbow6, xman_of_culture69x, HassaanChop, PRIVMSG
2021-11-08 20:28:57.275344, rainbow6, hashtag_miikstais, harijs gejs ko, PRIVMSG
2021-11-08 20:28:57.548224, rainbow6, neonyagami, KEKHeim, PRIVMSG
2021-11-08 20:29:00.231022, rainbow6, aserityng, Oh no, PRIVMSG
2021-11-08 20:29:03.995729, rainbow6, pinkpantelo, Ubisoft is SCAMERS WHY I GET 1 twitch  pak, PRIVMSG
2021-11-08 20:29:06.234450, rainbow6, reallyblessqd, What IP I’m confused, PRIVMSG
2021-11-08 20:29:08.351825, rainbow6, veakyoryeeee, KappaWealth, PRIVMSG
2021-11-08 20:29:08.351864, rainbow6, djmeowzle, kixNi kixNi, PRIVMSG
2021-11-08 20:29:08.546691, rainbow6, phoenixanz, faze should be scared worthy is only just warming up, PRIVMSG
2021-11-08 20:29:13.366707, rainbow6, thisiscamco, Faze ain't playing!, PRIVMSG
2021-11-08 20:29:16.049506, rainbow6, bobbydrill666, <3, PRIVMSG
2021-11-08 20:29:17.046422, rainbow6, gigabite08, Ok thanks, PRIVMSG
2021-11-08 20:29:18.423372, rainbow6, vxsionzzzz, Fortnite pinchchhhh jzrGASM jzrGASM jzrGASM jzrGASM, PRIVMSG
2021-11-08 20:29:21.456510, rainbow6, mattebroi__, @pinkpantelo mashaHaha, PRIVMSG
2021-11-08 20:29:21.964159, rainbow6, salzburk360, GlitchLit GlitchLit, PRIVMSG
2021-11-08 20:29:22.372132, rainbow6, cjohncol, @PinkPantelo ????????, PRIVMSG
2021-11-08 20:29:24.353409, rainbow6, tasted889, PurpleStar kixLeft kixMid kixRight PurpleStar PurpleStar, PRIVMSG
2021-11-08 20:29:25.188543, rainbow6, jjp23, @reallyblessqd internet protocol, PRIVMSG
2021-11-08 20:29:27.280179, rainbow6, mottensohn, huebitToadHype huebitToadHype huebitToadHype, PRIVMSG
2021-11-08 20:29:28.527447, rainbow6, cq7021568, FeelsAmazingMan, PRIVMSG
2021-11-08 20:29:28.722791, rainbow6, borreaiis, !drops, PRIVMSG
2021-11-08 20:29:28.918702, rainbow6, moobot, @BorreaIis LINK your account here: https://drops-register.ubi.com/ | Check your DROPS PROGRESS here: https://www.twitch.tv/drops/inventory | For more info: https://www.twitch.tv/drops/campaigns | Event Guide: https://www.ubisoft.com/en-gb/esports/rainbow-six/siege/news-updates/1YixsoBSeyKb56TZIDyfB2, PRIVMSG
2021-11-08 20:29:29.227676, rainbow6, tsun4m1_g4ming, Where my waves at, PRIVMSG
2021-11-08 20:29:32.114202, rainbow6, dglog, LUL, PRIVMSG
2021-11-08 20:29:35.261021, rainbow6, diego74965, reveal wheb?, PRIVMSG
2021-11-08 20:29:38.197573, rainbow6, tsun4m1_g4ming, tsun4m1Niko tsun4m1Niko tsun4m1Niko tsun4m1Niko, PRIVMSG
2021-11-08 20:29:40.174769, rainbow6, k4wrn, g, PRIVMSG
2021-11-08 20:29:40.371773, rainbow6, pinkpantelo, THANKS UBISOFT FOR USELESS PAK IN STORE, PRIVMSG
2021-11-08 20:29:40.686441, rainbow6, ibo_hv, !matches, PRIVMSG
2021-11-08 20:29:41.099816, rainbow6, moobot, @ibo_hv https://www.ubisoft.com/en-gb/esports/rainbow-six/siege/events/sweden-major, PRIVMSG
2021-11-08 20:29:42.532101, rainbow6, irise24, !waves, PRIVMSG
2021-11-08 20:29:42.730303, rainbow6, miglxxrr, 7-0 kkkkkkkkkkkkkkkkkkkkkk, PRIVMSG
2021-11-08 20:29:42.926479, rainbow6, czrpando, ubisoft hates me, PRIVMSG
2021-11-08 20:29:47.237825, rainbow6, ajh5000, @diego74965 30 mins, PRIVMSG
2021-11-08 20:29:52.004536, rainbow6, greentiger22, kixLeft kixMid kixRight, PRIVMSG
2021-11-08 20:29:52.201008, rainbow6, moobot, Excessive use of symbols, emotes, accented languages, and special characters will result in a short TO by our bot, apologies., PRIVMSG
