2021-11-08 11:47:56.288479, xqcow, t0x1c2345, XQCL, PRIVMSG
2021-11-08 11:47:56.288593, xqcow, the_most_sane_twitch_user, Copege ITS THE GAME Copege ITS THE GAME Copege ITS THE GAME Copege ITS THE GAME Copege ITS THE GAME 󠀀, PRIVMSG
2021-11-08 11:47:56.288624, xqcow, zeedannn, xQcLL, PRIVMSG
2021-11-08 11:47:56.478992, xqcow, gabag0oi, try the mp40, PRIVMSG
2021-11-08 11:47:56.479030, xqcow, fossabot, xqcL wkhearted is staying in the jungle! xqcL Thanks so much for re-subbing xqcL And continuing to support the stream! xqcL, PRIVMSG
2021-11-08 11:47:56.681826, xqcow, carryal0t, BAD = SHIT GAME OMEGALUL  BAD = SHIT GAME OMEGALUL, PRIVMSG
2021-11-08 11:47:56.867999, xqcow, 3hundredhours, 4Heed JUST CHANGE THE GUN, PRIVMSG
2021-11-08 11:47:56.868025, xqcow, gemini_00, bad cause mad, PRIVMSG
2021-11-08 11:47:56.868034, xqcow, oddpuer, lower your sens LULW, PRIVMSG
2021-11-08 11:47:57.057682, xqcow, kevin__22_, WHAT IS HE SHOOTING AT? LULW WHAT IS HE SHOOTING AT? LULW WHAT IS HE SHOOTING AT? LULW WHAT IS HE SHOOTING AT?, PRIVMSG
2021-11-08 11:47:57.057715, xqcow, gtix, excuse c OMEGALUL, PRIVMSG
2021-11-08 11:47:57.057729, xqcow, bmf_blanco, Same as every COD it’s TRASH, PRIVMSG
2021-11-08 11:47:57.057741, xqcow, dzzx__, the zombie is shit, PRIVMSG
2021-11-08 11:47:57.057751, xqcow, wade_36, xqcDespair, PRIVMSG
2021-11-08 11:47:57.057760, xqcow, pepsm8, forsenCD, PRIVMSG
2021-11-08 11:47:57.057770, xqcow, kiwi_chips, kamiko3LUL, PRIVMSG
2021-11-08 11:47:57.244104, xqcow, i__carbon, !time, PRIVMSG
2021-11-08 11:47:57.244146, xqcow, ravensparade, THE GUNS ARE HISTORICALLY ACCURATE OMEGALUL @xQcOW, PRIVMSG
2021-11-08 11:47:57.244162, xqcow, wenjrl2, SUSSY AIM, PRIVMSG
2021-11-08 11:47:57.244176, xqcow, heyhowyadewin, BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW, PRIVMSG
2021-11-08 11:47:57.244192, xqcow, uhfex, just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ, PRIVMSG
2021-11-08 11:47:57.244205, xqcow, gel0us, use a different gun, PRIVMSG
2021-11-08 11:47:57.244222, xqcow, ahbar21, GUN CONTROL OMEGALUL GUN CONTROL OMEGALUL GUN CONTROL OMEGALUL GUN CONTROL OMEGALUL GUN CONTROL OMEGALUL GUN CONTROL OMEGALUL GUN CONTROL OMEGALUL, PRIVMSG
2021-11-08 11:47:57.431117, xqcow, fossabot, @i__carbon, xQc's current local time: 02:47:57 AM (CST), PRIVMSG
2021-11-08 11:47:57.431150, xqcow, junyounggosu, you're playing too slow OMEGALUL, PRIVMSG
2021-11-08 11:47:57.618541, xqcow, vendetta_official, EXCUSE C LULW EXCUSE C LULW EXCUSE C LULW EXCUSE C LULW EXCUSE C LULW EXCUSE C LULW EXCUSE C LULW, PRIVMSG
2021-11-08 11:47:57.618585, xqcow, gderikv, CONTROLLER PagMan, PRIVMSG
2021-11-08 11:47:57.801615, xqcow, widehard0_anygifters, BAD = SHIT GAME OMEGALUL  BAD = SHIT GAME OMEGALUL  BAD = SHIT GAME OMEGALUL  BAD = SHIT GAME OMEGALUL  BAD = SHIT GAME OMEGALUL, PRIVMSG
2021-11-08 11:47:57.801657, xqcow, senpaikun, <3, PRIVMSG
2021-11-08 11:47:57.801672, xqcow, nlohugh, RANK 2 Pogu, PRIVMSG
2021-11-08 11:47:57.801686, xqcow, hotzin, M+K vs CONTROLLER OMEGALUL M+K vs CONTROLLER OMEGALUL M+K vs CONTROLLER OMEGALUL M+K vs CONTROLLER OMEGALUL M+K vs CONTROLLER OMEGALUL, PRIVMSG
2021-11-08 11:47:57.993122, xqcow, excambaw, xqcLL, PRIVMSG
2021-11-08 11:47:58.369090, xqcow, obsavage_x3, take one of their guns, PRIVMSG
2021-11-08 11:47:58.553164, xqcow, forgettrance, CRAB AIM LULW, PRIVMSG
2021-11-08 11:47:58.735709, xqcow, budmademewiser, WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW WHERE IS HE AIMING LULW, PRIVMSG
2021-11-08 11:47:58.735750, xqcow, uhfex, just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ just play hard core EZ, PRIVMSG
2021-11-08 11:47:58.935181, xqcow, peniparker, SO BAD OMEGALUL, PRIVMSG
2021-11-08 11:47:58.935221, xqcow, coppersnake, aim asist broken, PRIVMSG
2021-11-08 11:47:58.935237, xqcow, icesicles, ????, PRIVMSG
2021-11-08 11:47:59.257233, xqcow, nedzmu, dogshit game forsenBased dogshit game forsenBased dogshit game forsenBased dogshit game forsenBased dogshit game forsenBased, PRIVMSG
2021-11-08 11:47:59.444767, xqcow, grandiezachiez, PepegaAim, PRIVMSG
2021-11-08 11:47:59.444808, xqcow, action_jackson2, GET ONTARKOV, PRIVMSG
2021-11-08 11:47:59.630381, xqcow, themessiahtv, WORST COD IN 10 YEARS OMEGALUL WORST COD IN 10 YEARS OMEGALUL WORST COD IN 10 YEARS OMEGALUL WORST COD IN 10 YEARS OMEGALUL, PRIVMSG
2021-11-08 11:47:59.630424, xqcow, playgabz, DIE = MALD LULW, PRIVMSG
2021-11-08 11:47:59.821501, xqcow, liriumn, LIKE 👍, PRIVMSG
2021-11-08 11:47:59.821543, xqcow, xdzlc, forsenCD, PRIVMSG
2021-11-08 11:48:00.010269, xqcow, sam_26789, Mp40 is meta supposedly, PRIVMSG
2021-11-08 11:48:00.010313, xqcow, cringelolll, FEMALE SOLDIER POV OMEGALUL FEMALE SOLDIER POV OMEGALUL FEMALE SOLDIER POV OMEGALUL FEMALE SOLDIER POV OMEGALUL FEMALE SOLDIER POV OMEGALUL FEMALE SOLDIER POV OMEGALUL FEMALE SOLDIER POV OMEGALUL, PRIVMSG
2021-11-08 11:48:00.010329, xqcow, iyiac, Use the MP40 class, PRIVMSG
2021-11-08 11:48:00.010343, xqcow, chaddermcnadder, you have to take xaanax every night to understand x, PRIVMSG
2021-11-08 11:48:00.202832, xqcow, kiwi_chips, kamiko3LUL Joinin' em., PRIVMSG
2021-11-08 11:48:00.202876, xqcow, ayyvollet, @xQcOW :) youre playing blitz mode, it has double the players, PRIVMSG
2021-11-08 11:48:00.202893, xqcow, pradabeboolin, you hit them once, PRIVMSG
2021-11-08 11:48:00.202908, xqcow, gel0us, switch guns, PRIVMSG
2021-11-08 11:48:00.392936, xqcow, heyhowyadewin, SO BAD LULW, PRIVMSG
2021-11-08 11:48:00.392982, xqcow, brcfrmn, @Mumn_313 OpieOP 💢 women in my vidya??, PRIVMSG
2021-11-08 11:48:00.393000, xqcow, samikako, RANK 2?, PRIVMSG
2021-11-08 11:48:00.575381, xqcow, 6six006, DEAD = EXCUSES LULW DEAD = EXCUSES LULW DEAD = EXCUSES LULW, PRIVMSG
2021-11-08 11:48:00.762756, xqcow, zatr3z, TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL TWITCH RIVALS AIM OMEGALUL, PRIVMSG
2021-11-08 11:48:00.762793, xqcow, treggytz, LUL crab aim  OMEGALUL, PRIVMSG
2021-11-08 11:48:00.762820, xqcow, durkzi, Copege CONTROLLER WILL HELP Copege CONTROLLER WILL HELP Copege CONTROLLER WILL HELP Copege CONTROLLER WILL HELP, PRIVMSG
2021-11-08 11:48:00.944811, xqcow, finnb42, change loudout, PRIVMSG
2021-11-08 11:48:01.180226, xqcow, amby22, bad = shit game LULW, PRIVMSG
2021-11-08 11:48:01.366444, xqcow, aquaticastronaut, YOU ARE IN BLITZ OMEGALUL, PRIVMSG
2021-11-08 11:48:01.366485, xqcow, kelseyrt, pick up someone whos dead gun @xQcOW, PRIVMSG
2021-11-08 11:48:01.366503, xqcow, boykisses, PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim PepegaAim, PRIVMSG
2021-11-08 11:48:01.366517, xqcow, sonik555, OMEGALUL WALUIGI AIM OMEGALUL, PRIVMSG
2021-11-08 11:48:01.366531, xqcow, colti, EZ AIM ASSIST, PRIVMSG
2021-11-08 11:48:01.548527, xqcow, ripzyow, COD = BAD, PRIVMSG
2021-11-08 11:48:01.734932, xqcow, boomen__, NEEDS AIM ASSIST OMEGALUL NEEDS AIM ASSIST OMEGALUL NEEDS AIM ASSIST OMEGALUL NEEDS AIM ASSIST OMEGALUL NEEDS AIM ASSIST OMEGALUL NEEDS AIM ASSIST OMEGALUL NEEDS AIM ASSIST OMEGALUL NEEDS AIM ASSIST OMEGALUL, PRIVMSG
2021-11-08 11:48:01.734959, xqcow, squidydota, xqcMald, PRIVMSG
2021-11-08 11:48:01.734968, xqcow, asvknight, LVL 2 Pog, PRIVMSG
2021-11-08 11:48:01.734985, xqcow, alfie_gbe, USE THE OTHER LOADOUT USE THE OTHER LOADOUT USE THE OTHER LOADOUT USE THE OTHER LOADOUT USE THE OTHER LOADOUT, PRIVMSG
2021-11-08 11:48:01.919159, xqcow, maxliimit, Ur aim is so bad, PRIVMSG
2021-11-08 11:48:01.919188, xqcow, thecurioo, forsenCD, PRIVMSG
2021-11-08 11:48:02.138044, xqcow, heyhowyadewin, BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW BAD AT EVERY GAME LULW, PRIVMSG
2021-11-08 11:48:02.320114, xqcow, dankodisco, ITS THE MOUSE Copege, PRIVMSG
2021-11-08 11:48:02.505475, xqcow, hm_king_, @xQcOW go through settings, PRIVMSG
