timestamp,user,message,banned,msg_len
2021-10-29 18:29:07,KaveN_WF10,зверя нет сильней дракона снг порвет любого наш дракончик всех сжигает на мажоре побеждает,1,14
2021-10-27 13:19:18,thej0ker169,batchest batchest batchest batchest batchest batchest batchest batchest batchest batchest batchest batchest batchest batchest batchest batchest,0,16
2021-10-27 12:29:53,garcea89,bait team  save awp  dont help  run duel  spawn  team dmg  never give weapons  flash teammate  dont buy  ready play valorant chat,0,22
2021-11-01 18:01:37,catfish_god,get fourth pickem predict anyways feelsokayman,0,6
2021-10-27 12:27:49,WhyveRAIZ,mouz got corona,1,3
2021-10-27 12:46:57,xanders99,69 lul lul,1,3
2021-11-01 17:43:25,n4ndino,517,1,1
2021-10-29 19:26:26,mehrshadism,ذخف,1,1
2021-10-29 18:18:04,Versitile83,glaive looking like human hamster,0,5
2021-10-29 19:43:58,alazfire,spirit lets go homeéeeeeeee,1,4
2021-10-29 19:43:08,vstojanov,69 pickems les gooo,1,4
2021-10-29 19:17:36,%salad__j,hands,0,1
2021-10-27 13:04:31,epicus_dingonious,pffft,0,1
2021-11-01 18:23:26,tYsU_,lucky nip,0,2
2021-10-29 19:05:24,adityamitra75,alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken wutface alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken alisachicken,1,26
2021-10-29 18:10:05,AscendedHallow,female pro wow,0,3
2021-10-29 18:12:03,Strahinja96,magixx chest,1,2
2021-11-01 18:02:50,l_STEiNi_l,russki,1,1
2021-11-01 16:39:10,DropparN,d2 first map,0,3
2021-11-01 15:48:08,iGeorqe,art knew,0,2
2021-11-01 16:13:13,sigmundvk,16 inc,1,2
2021-10-27 11:45:48,kingmaker_once,bruhhhhhhhhhhhhjhjhjhjhjjhjhjhjh,0,1
2021-11-01 15:52:02,daimmo3dma,el1an 1vx 100th,0,3
2021-11-01 17:47:29,Masterpain91,stop saying naffanny,1,3
2021-11-01 15:51:11,indiagoat1,doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominations doritoschip trans people abominati,1,48
2021-10-29 18:49:27,nico72002,magisk awp pog,0,3
2021-11-01 18:26:27,thisgalmakemeflutter,watafak,0,1
